Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description;PW Estimate
283.6 us/s; 0.23;;;;Process;[PID 1793376] GC Thread#9; 1.37 mW  
  0.9 ms/s;;;;;kWork;ieee80211_scan_work; 1.36 mW  
347.5 us/s; 0.18;;;;Process;[PID 1793373] GC Thread#6; 1.27 mW  
 20.9 us/s;  0.3;;;;Process;[PID 1782780] MediaPD~oder #1; 1.27 mW  
400.6 us/s; 0.16;;;;Process;[PID 1793374] GC Thread#7; 1.24 mW  
337.3 us/s; 0.18;;;;Process;[PID 1782781] MediaPD~oder #1; 1.23 mW  
  1.5 us/s; 0.30;;;;kWork;console_callback; 1.17 mW  
 16.4 us/s; 0.28;;;;Process;[PID 1541889] MediaSu~isor #9; 1.13 mW  
198.4 us/s; 0.20;;;;Process;[PID 1793241] Sweeper thread; 1.08 mW  
595.6 us/s; 0.03;;;;kWork;wb_workfn; 1.04 mW  
  0.5 us/s; 0.26;;;;Process;[PID 1793647] docker-compose; 1.04 mW  
 16.0 us/s; 0.25;;;;Process;[PID 1541888] MediaSu~sor #20; 1.02 mW  
 82.1 us/s; 0.21;;;;Process;[PID 47224] WebExtensions;  966 uW  
589.6 us/s;;;;;kWork;fqdir_free_fn;  920 uW  
135.0 us/s; 0.18;;;;Process;[PID 1784689] Discord;  916 uW  
  1.5 us/s; 0.22;;;  0.0;Process;[PID 1789424] kworker/4:0;  879 uW  
  4.1 us/s; 0.22;;;;Process;[PID 1679700] IPC I/O Child;  866 uW  
346.0 us/s; 0.07;;;;Process;[PID 1793370] GC Thread#3;  826 uW  
446.1 us/s; 0.03;;;;Interrupt;[66] nvidia;  806 uW  
301.8 us/s; 0.08;;;;Process;[PID 1793375] GC Thread#8;  802 uW  
  0.8 us/s; 0.20;;;;Process;[PID 65647] dockerd;  773 uW  
 12.6 us/s; 0.19;;;;Process;[PID 1547690] MediaSu~sor #21;  769 uW  
149.4 us/s; 0.13;;;;Interrupt;[3] net_rx(softirq);  762 uW  
 24.1 us/s; 0.18;;;;Process;[PID 47063] Socket Thread;  743 uW  
  1.3 us/s; 0.18;;;;Process;[PID 65662] containerd;  708 uW  
435.6 us/s; 0.01;;;;Interrupt;[9] RCU(softirq);  702 uW  
  8.0 us/s; 0.17;;;;kWork;toggle_allocation_gate;  696 uW  
  3.7 us/s; 0.17;;;;Process;[PID 1784716] Voice;  689 uW  
  9.1 us/s; 0.17;;;;Process;[PID 1793259] Common-Cleaner;  676 uW  
